Abilene Christian University	South	510–620	520–600	1030–1220	21–26
Adelphi University	Mid-Atlantic	540–630	540–640	1080–1270	22–27	
Agnes Scott College	South	570–690	520–640	1090–1320	23–29	
Albion College	Midwest	510–630	500–610	1010–1240	20–26	
Allegheny College	Mid-Atlantic	560–680	560–660	1120–1340	24–30	
American University	Mid-Atlantic	630–700	590–680	1220–1380	27–31	
Amherst College	New England	720–770	710–790	1430–1560	32–34	
Appalachian State University	South	560–640	540–630	1100–1270	23–27	
Arizona State University, ​Tempe	West	570–670	560–690	1130–1360	22–29	
Auburn University	South	580–650	570–660	1150–1310	25–30	
Augustana College	Midwest	550–640	570–700	1120–1340	23–28	
Austin College	South	570–670	560–660	1130–1330	22–27	
Babson College	New England	610–680	620–730	1230–1410	27–32	
Baldwin Wallace University	Midwest	520–640	510–610	1030–1250	21–27	
Bard College	Mid-Atlantic	600–700	570–680	1170–1380	28–31	
Barnard College	Mid-Atlantic	670–740	660–760	1330–1500	30–33	
Bates College	New England	640–720	650–740	1290–1460	29–32	
Baylor University	South	600–680	590–690	1190–1370	26–31	
Beloit College	Midwest	570–670	550–690	1120–1360	21–29	
Bennington College	New England	620–710	590–680	1210–1390	27–31	
Bentley University	New England	590–670	620–710	1210–1380	27–31	
Berea College	South	480–590	490–610	970–1200	22–27	
Berry College	South	570–660	550–640	1120–1300	24–29	
Binghamton University, SUNY	Mid-Atlantic	650–710	660–730	1310–1440	28–32	
Biola University	West	540–640	520–620	1060–1260	21–27	
Birmingham-​Southern College 	South	520–630	510–630	1030–1260	23–29	
Boston College	New England	650–720	670–770	1320–1490	31–34	
Boston University	New England	650–720	680–780	1330–1500	30–33	
Bowdoin College	New England	650–740	650–770	1300–1510	30–34	
Bradley University	Midwest	530–640	530–660	1060–1300	22–28	
Brandeis University	New England	630–720	650–780	1280–1500	29–33	
Brigham Young University, ​Provo	West	600–710	590–710	1190–1420	26–31	
Brown University	New England	700–760	720–790	1420–1550	32–35	
Bryn Mawr College	Mid-Atlantic	660–730	640–770	1300–1500	28–33	
Bucknell University	Mid-Atlantic	620–690	630–730	1250–1420	28–32	
Butler University	Midwest	590–660	580–670	1170–1330	25–30	
Cal Poly, Pomona	West	520–610	510–640	1030–1250	19–27	
Cal Poly, ​San Luis Obispo	West	620–700	620–730	1240–1430	26–32	
California Institute of Technology	West	740–780	790–800	1530–1580	35–36	
California Lutheran University	West	540–620	520–610	1060–1230	21–27	
California State University, Fresno	West	450–560	440–550	890–1110	16–22	
California State University, Fullerton	West	520–610	520–610	1040–1220	19–24	
California State University, Long Beach	West	520–620	520–630	1040–1250	20–26	
California State University, Los Angeles	West	450–540	440–540	890–1080	15–20	
California State University, Monterey Bay	West	480–590	480–570	960–1160	17–23	
California State University, Northridge	West	460–570	550–550	1010–1120	17–22	
Carleton College	Midwest	670–750	680–780	1350–1530	31–34	
Carnegie Mellon University	Mid-Atlantic	700–750	750–800	1450–1550	33–35	
Carroll College	West	540–640	530–630	1070–1270	22–28	
Case Western Reserve University	Midwest	650–730	700–790	1350–1520	30–34	
Centre College	South	590–705	600–715	1190–1420	27–32	
Chapman University	West	600–680	590–680	1190–1360	25–30	
Christopher Newport University	South	570–650	540–630	1110–1280	23–28	
Claremont McKenna College	West	670–730	680–770	1350–1500	31–34	
Clark University	New England	610–700	590–690	1200–1390	28–31	
Clarkson University	Mid-Atlantic	560–650	580–680	1140–1330	24–29	
Clemson University	South	610–690	610–710	1220–1400	27–32	
Coe College	Midwest	530–650	540–680	1070–1330	22–28	
Colby College	New England	670–740	670–760	1340–1500	31–33	
Colgate University	Mid-Atlantic	650–730	670–780	1320–1510	31–34	
College of Charleston	South	550–640	520–610	1070–1250	22–28	
College of New Jersey	Mid-Atlantic	580–670	580–680	1160–1350	25–30	
College of St. Benedict	Midwest	530–630	480–590	1010–1220	22–28	
College of the Holy Cross	New England	640–710	640–710	1280–1420	28–32	
College of William & Mary	South	660–730	650–760	1310–1490	30–33	
College of Wooster	Midwest	570–680	560–690	1130–1370	25–30	
Colorado College	West	650–720	650–750	1300–1470	29–33	
Colorado School of Mines	West	630–710	660–740	1290–1450	28–33	
Colorado State University	West	540–640	530–640	1070–1280	23–28	
Columbia University	Mid-Atlantic	720–780	730–800	1450–1580	32–35	
Concordia College, ​Moorhead	Midwest	N/A	N/A	N/A	22–28	
Connecticut College	New England	650–710	640–720	1290–1430	30–32	
Cornell College	Midwest	540–670	540–650	1080–1320	23–30	
Cornell University	Mid-Atlantic	680–750	710–790	1390–1540	32–34	
Creighton University	Midwest	580–670	570–680	1150–1350	24–30	
CUNY, ​Baruch College	Mid-Atlantic	590–670	630–720	1220–1390	N/A	
Dartmouth College	New England	700–770	720–790	1420–1560	31–35	
Davidson College	South	640–720	650–730	1290–1450	29–33	
Denison University	Midwest	600–690	600–690	1200–1380	28–31	
DePaul University	Midwest	550–670	530–640	1080–1310	22–28	
DePauw University	Midwest	560–660	560–680	1120–1340	23–29	
